#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
JC2803-nifH.183622	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodomicrobium	n.a.
PCR49-A-nifH.921623	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	n.a.
JC2961-nifH.687910	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2944-nifH.475063	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Trichormus	n.a.
JC2961-nifH.683709	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Iningainema	Iningainema tapete
JC2926-nifH.247389	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2926-nifH.253700	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	n.a.
JC2788-nifH.5703	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	n.a.
JC2789-nifH.15630	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	n.a.
JC2792-nifH.65992	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocladus	n.a.
JC2929-nifH.286087	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC3213-nifH.841527	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2788-nifH.4349	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	n.a.
JC2947-nifH.513442	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodomicrobium	n.a.
JC2958-nifH.647079	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	n.a.
JC3086-nifH.740049	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2796-nifH.96339	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	n.a.
JC2804-nifH.191552	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC3088-nifH.767765	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2928-nifH.276756	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2801-nifH.160015	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2927-nifH.255133	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2800-nifH.144888	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	n.a.
JC2807-nifH.227851	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2952-nifH.572182	Bacteria	Proteobacteria	g-proteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	n.a.
JC2930-nifH.298396	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2942-nifH.447968	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2954-nifH.598644	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2962-nifH.695381	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Iningainema	Iningainema tapete
JC2942-nifH.444321	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	n.a.
JC2952-nifH.568996	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	n.a.
JC2935-nifH.374909	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Iningainema	Iningainema tapete
JC2802-nifH.172180	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	n.a.
JC2931-nifH.318131	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc_favosum
JC2790-nifH.22640	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2950-nifH.547478	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2799-nifH.121848	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	n.a.
JC2800-nifH.135837	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	n.a.
JC2937-nifH.395805	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Iningainema	Iningainema tapete
JC3216-nifH.891995	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2943-nifH.464054	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodomicrobium	n.a.
JC2942-nifH.452429	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Trichormus	n.a.
JC2789-nifH.20701	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	n.a.
JC2933-nifH.347500	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2949-nifH.534096	Bacteria	Proteobacteria	a-proteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	n.a.
JC2943-nifH.465094	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	n.a.
JC2803-nifH.189524	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Scytonemataceae	Iningainema	Iningainema tapete
