Confir	Genotype	MLG	Lat 	Lon	GBS	Sample_ID	Gen_Habitat
JC2788_nifH	NA	NA	NA	NA	NA	NA	NA
JC2789_nifH	NA	NA	NA	NA	NA	NA	NA
JC2790_nifH	CD	6	55.3608	-77.6545	TRUE	JC2790	CD_Forest_tundra
JC2791_nifH	AB	8	55.3613	-77.6546	TRUE	JC2791	AB_Forest_tundra
JC2792_nifH	CD	7	55.3254	-77.71	TRUE	JC2792	CD_Forest_tundra
JC2793_nifH	CD	11	55.3251	-77.712	TRUE	JC2793	CD_Forest_tundra
JC2794_nifH	CD	3	55.3264	-77.7108	TRUE	JC2794	CD_Forest_tundra
JC2795_nifH	CD	9	55.328	-77.7121	TRUE	JC2795	CD_Forest_tundra
JC2796_nifH	CD	11	55.3285	-77.7124	TRUE	JC2796	CD_Forest_tundra
JC2797_nifH	AB	12	55.2774	-77.743	TRUE	JC2797	AB_Forest_tundra
JC2798_nifH	CD	13	55.2777	-77.7434	TRUE	JC2798	CD_Forest_tundra
JC2799_nifH	NA	NA	NA	NA	NA	NA	NA
JC2800_nifH	AB	15	55.2771	-77.741	TRUE	JC2800	AB_Forest_tundra
JC2801_nifH	CD	16	55.3791	-77.6131	TRUE	JC2801	CD_Forest_tundra
JC2802_nifH	CD	17	56.5484	-76.5299	TRUE	JC2802	CD_Shrub_tundra
JC2803_nifH	AB	19	56.5488	-76.5283	TRUE	JC2803	AB_Shrub_tundra
JC2804_nifH	CD	20	56.5628	-76.5109	TRUE	JC2804	CD_Shrub_tundra
JC2805_nifH	AB	21	56.5626	-76.5117	TRUE	JC2805	AB_Shrub_tundra
JC2806_nifH	AB	24	56.5626	-76.5117	TRUE	JC2806	AB_Shrub_tundra
JC2807_nifH	CD	26	56.5575	-76.552	TRUE	JC2807	CD_Shrub_tundra
JC2926_nifH	AB	29	56.5658	-76.4875	TRUE	JC2926	AB_Shrub_tundra
JC2927_nifH	CD	30	56.5652	-76.4884	TRUE	JC2927	CD_Shrub_tundra
JC2928_nifH	NA	NA	NA	NA	NA	NA	NA
JC2929_nifH	CD	33	56.5541	-76.5386	TRUE	JC2929	CD_Shrub_tundra
JC2930_nifH	CD	34	56.5525	-76.5192	TRUE	JC2930	CD_Shrub_tundra
JC2931_nifH	NA	NA	NA	NA	NA	NA	NA
JC2932_nifH	NA	NA	NA	NA	NA	NA	NA
JC2933_nifH	CD	38	55.3608	-77.6539	TRUE	JC2933	CD_Forest_tundra
JC2934_nifH	NA	NA	NA	NA	NA	NA	NA
JC2935_nifH	NA	NA	NA	NA	NA	NA	NA
JC2936_nifH	NA	21	55.3254	-77.71	FALSE	JC2936	NA_Forest_tundra
