Name	Group	Habitat	Correction	MLG	lon	lat	Scale	Plot
D1203_SWEDEN_Angermanland	C	NA	NA	NA	NA	NA	NA	NA
D1204_SWEDEN_Lycksele-Lappmark	B	NA	NA	NA	NA	NA	NA	NA
D1206_SWEDEN_Pite-Lappmark	B	NA	NA	NA	NA	NA	NA	NA
D1207_SWEDEN_Pite-Lappmark	A	NA	NA	NA	NA	NA	NA	NA
D1289_SWEDEN_Smaland	C	NA	NA	NA	NA	NA	NA	NA
D1291_SWEDEN_Sodermanland	C	NA	NA	NA	NA	NA	NA	NA
D1292_SWEDEN_Uppland	C	NA	NA	NA	NA	NA	NA	NA
D1293_SWEDEN_Uppland	C	NA	NA	NA	NA	NA	NA	NA
D1295_SWEDEN_Vastmanland	C	NA	NA	NA	NA	NA	NA	NA
D1297_SWEDEN_Dalarna	C	NA	NA	NA	NA	NA	NA	NA
D1298_SWEDEN_Halsingland	C	NA	NA	NA	NA	NA	NA	NA
D1301_SWEDEN_Harjedalen	C	NA	NA	NA	NA	NA	NA	NA
D1302_SWEDEN_Jamtland	C	NA	NA	NA	NA	NA	NA	NA
D1306_SWEDEN_Jamtland	C	NA	NA	NA	NA	NA	NA	NA
D1312_SWEDEN_Lycksele-lappmark	C	NA	NA	NA	NA	NA	NA	NA
D1318_SWEDEN_Pite-Lappmark	B	NA	NA	NA	NA	NA	NA	NA
D1319_SWEDEN_Pite-Lappmark	B	NA	NA	NA	NA	NA	NA	NA
JC1464_CANADA_Quebec	C	NA	NA	NA	NA	NA	NA	NA
JC1465_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1466_CANADA_Quebec	D	NA	NA	NA	NA	NA	NA	NA
JC1467_CANADA_Quebec	D	NA	NA	NA	NA	NA	NA	NA
JC1468_CANADA_Quebec	D	NA	NA	NA	NA	NA	NA	NA
JC1469_CANADA_Quebec	C	NA	NA	NA	NA	NA	NA	NA
JC1470_CANADA_Quebec	C	NA	NA	NA	NA	NA	NA	NA
JC1471_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1472_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1473_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1474_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1475_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1477_CANADA_Quebec	C	NA	NA	NA	NA	NA	NA	NA
JC1479_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1480_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1482_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1485_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1486_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1487_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1490_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1493_Alaska_Attu	D	NA	NA	NA	NA	NA	NA	NA
JC1494_Alaska_MudCreek	B	NA	NA	NA	NA	NA	NA	NA
JC1495_Alaska_Kodiak	B	NA	NA	NA	NA	NA	NA	NA
JC1496_Alaska_Sandy	D	NA	NA	NA	NA	NA	NA	NA
JC1498_Alaska_Tyonek	A	NA	NA	NA	NA	NA	NA	NA
JC1499_Alaska_Selawik	A	NA	NA	NA	NA	NA	NA	NA
JC1500_Alaska_Afognak	D	NA	NA	NA	NA	NA	NA	NA
JC1501_Alaska_Kodiak	D	NA	NA	NA	NA	NA	NA	NA
JC1502_Alaska_Anchorage	A	NA	NA	NA	NA	NA	NA	NA
JC1503_Alaska_Auletian	D	NA	NA	NA	NA	NA	NA	NA
JC1505_Alaska_PassCreek	D	NA	NA	NA	NA	NA	NA	NA
JC1506_Alaska_Auletian	D	NA	NA	NA	NA	NA	NA	NA
JC1508_Alaska_BigCreek	D	NA	NA	NA	NA	NA	NA	NA
JC1509_Alaska_BigCreek	B	NA	NA	NA	NA	NA	NA	NA
JC1511_Alaska_Auletian	D	NA	NA	NA	NA	NA	NA	NA
JC1513_CANADA_Quebec	C	NA	NA	NA	NA	NA	NA	NA
JC1514_Alaska_MudCreek	B	NA	NA	NA	NA	NA	NA	NA
JC1517_CANADA_NewFoundland	C	NA	NA	NA	NA	NA	NA	NA
JC1518_Alaska_FarNorth	A	NA	NA	NA	NA	NA	NA	NA
JC1519_Alaska_FarNorth	A	NA	NA	NA	NA	NA	NA	NA
JC1520_Alaska_FarNorth	A	NA	NA	NA	NA	NA	NA	NA
JC1521_Alaska_FarNorth	A	NA	NA	NA	NA	NA	NA	NA
JC1522_Alaska_FarNorth	A	NA	NA	NA	NA	NA	NA	NA
JC1524_GREENLAND_Wollaston	A	NA	NA	NA	NA	NA	NA	NA
JC1526_GREENLAND_Wollaston	A	NA	NA	NA	NA	NA	NA	NA
JC1528_GREENLAND_Kobbefjord	A	NA	NA	NA	NA	NA	NA	NA
JC1529_GREENLAND_Kobbefjord	C	NA	NA	NA	NA	NA	NA	NA
JC1530_GREENLAND_Nuuk	C	NA	NA	NA	NA	NA	NA	NA
JC1533_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1535_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1537_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC1538_Alaska_	B	NA	NA	NA	NA	NA	NA	NA
JC1539_Alaska_Kodiak	B	NA	NA	NA	NA	NA	NA	NA
JC2165_CANADA_Labrador	A	NA	NA	NA	NA	NA	NA	NA
JC2779_CANADA_Quebec	A	NA	NA	NA	NA	NA	NA	NA
JC2782_PORTUGAL_Braga	C	NA	NA	NA	NA	NA	NA	NA
JC2788_369-A1	CD	Forest tundra	TRUE	51	42.706	19.551	Population	369
JC2789_370-A1	AB	Forest tundra	TRUE	54	39.231	21.646	Population	370
JC2790_371-A1	CD	Forest tundra	TRUE	57	39.269	21.65	Population	371
JC2791_375-A1	AB	Forest tundra	TRUE	68	39.274	21.675	Population	375
