Samples	Sample_code	Group	Habitat	Correction	MLG	lon	lat	Scale	Quadrat	Correction_Habitat	Correction_Habitat_Group	Group-Habitat	Microbiome
JC3234_393-A1	393-A1	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3235_393-A2	393-A2	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3236_393-A3	393-A3	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3237_393-A4	393-A4	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3238_393-A5	393-A5	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3239_393-B1	393-B1	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3240_393-B2	393-B2	AB	Forest tundra	NA	85	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3241_393-B3	393-B3	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3280_393-B4	393-B4	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3243_393-B5	393-B5	CD	Forest tundra	NA	81	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3244_393-C1	393-C1	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3245_393-C2	393-C2	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3246_393-C3	393-C3	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3247_393-C4	393-C4	AB	Forest tundra	NA	85	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3248_393-C5	393-C5	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3249_393-D1	393-D1	CD	Forest tundra	NA	81	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3250_393-D2	393-D2	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3251_393-D3	393-D3	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3252_393-D4	393-D4	CD	Forest tundra	NA	81	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3302_393-D5	393-D5	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3254_393-E1	393-E1	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
JC3281_393-E2	393-E2	AB	Forest tundra	NA	85	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3256_393-E3	393-E3	AB	Forest tundra	NA	68	39.985	21.291	Patch	393	NA	NA	AB-Forest tundra	FALSE
JC3257_393-E4	393-E4	CD	Forest tundra	NA	51	39.985	21.291	Patch	393	NA	NA	CD-Forest tundra	FALSE
