#Cfactor 0.0178282
Recipient	JC3234_393-A1	JC3235_393-A2	JC3236_393-A3	JC3237_393-A4	JC3238_393-A5	JC3239_393-B1	JC3240_393-B2	JC3241_393-B3	JC3280_393-B4	JC3243_393-B5	JC3244_393-C1	JC3245_393-C2	JC3246_393-C3	JC3247_393-C4	JC3248_393-C5	JC3249_393-D1	JC3250_393-D2	JC3251_393-D3	JC3252_393-D4	JC3302_393-D5	JC3254_393-E1	JC3281_393-E2	JC3256_393-E3	JC3257_393-E4	JC3258_393-E5	JC3259_414-A1	JC3260_414-A2	JC3261_414-A3	JC3299_414-A4	JC3291_414-A5	JC3292_414-B1	JC3282_414-B2	JC3283_414-B3	JC3265_414-B4	JC3300_414-B5	JC3293_414-C1	JC3268_414-C2	JC3269_414-C3	JC3270_414-C4	JC3295_414-C5	JC3284_414-D1	JC3285_414-D2	JC3286_414-D3	JC3287_414-D4	JC3288_414-D5	JC3273_414-E1	JC3274_414-E2	JC3289_414-E3	JC3290_414-E4	JC3294_414-E5	JC2788_369-A1	JC2955_369-A5	JC2932_369-E1	JC2789_370-A1	JC2853_370_A5	JC2933_370-E1	JC2790_371-A1	JC2956_371-A5	JC2934_371-E1	JC2791_375-A1	JC2859_375_A5	JC2935_375-E1	JC2792_378-A1	JC2958_378-A5	JC2861_378_E1	JC2793_379-A1	JC2959_379-A5	JC2937_379-E1	JC2794_380-A1	JC2960_380-A5	JC2938_380-E1	JC2795_382-A1	JC2961_382-A5	JC2939_382-E1	JC2796_383-A1	JC2962_383-A5	JC2940_383-E1	JC2797_385-A1	JC2963_385-A5	JC2875_385_E1	JC2798_386-A1	JC3086_386-A5	JC2878_386_E1	JC2799_387-A1	JC3087_387-A5	JC2943_387-E1	JC2800_388-A1	JC3088_388-A5	JC2944_388-E1	JC2801_389-A1	JC3089_389-A5	JC2945_389-E1	JC2802_398-A1	JC3090_398-A5	JC3301_398-E1	JC2803_399-A1	JC3091_399-A5	JC2947_399-E1	JC2804_401-A1	JC3210_401-A5	JC2948_401-E1	JC2805_402-A1	JC2906_402-A5	JC2949_402-E1	JC2806_407-A1	JC3212_407-A5	JC2950_407-E1	JC2807_408-A1	JC2911_408-A5	JC3085_408-E1	JC2926_411-A1	JC3214_411-A5	JC2951_411-E1	JC2927_412-A1	JC2917_412-A5	JC2952_412-E1	JC2928_415-A1	JC3216_415-A5	JC2929_415-E1	JC2930_416-A1	JC3303_416-A5	JC2953_416-E1	JC2931_417-A1	JC3218_417-A5	JC2954_417-E1
JC3234_393-A1	0	1.4852	1.49581	1.50517	1.49978	6.78886	1.73521	6.82825	1.50037	4.46603	1.4959	6.79986	1.50541	1.77141	6.82764	4.4481	1.49447	1.50052	4.43605	6.81191	6.81708	1.75904	1.51194	6.81065	6.81756	1.44839	1.45259	1.44452	1.44839	1.45259	1.44839	1.4488	1.44854	1.45681	1.46533	1.45259	1.44839	2.27718	2.27718	2.27718	1.44839	1.64395	1.45259	2.27718	2.27226	1.46533	1.45259	2.24237	2.28378	2.25383	6.44262	5.01676	5.0019	1.84485	1.80252	3.04165	3.82354	6.7996	1.49622	1.49594	1.49577	1.50787	4.05543	1.72585	6.80441	3.3543	6.79506	1.49978	6.38566	4.45786	1.49577	3.08562	6.80867	2.98668	3.41493	1.71898	6.8092	1.90733	1.49408	4.43665	4.44584	6.80388	1.49978	6.80388	1.72585	1.49577	2.90838	6.80388	6.80105	5.00647	1.45756	1.46555	4.6768	1.44839	3.87762	1.56709	4.9905	4.99599	4.97683	4.84708	4.85336	1.63976	1.6552	2.95851	1.53736	1.44329	4.03281	3.946	2.879	2.98654	1.57381	1.99206	1.5673	5.30661	5.06949	4.46407	3.27105	1.61052	3.26157	2.55917	4.57685	3.84047	1.58261	1.5626	3.07489
JC3235_393-A2	1.48578	0	6.17174	6.08619	6.13222	1.47253	4.01535	1.48495	6.14605	1.57073	6.14953	1.4706	6.11083	4.02274	1.48815	1.5718	6.14624	6.15903	1.56852	1.47591	1.48643	4.04021	6.13771	1.48548	1.48402	3.94311	3.93933	3.94967	3.94311	3.93696	3.94311	3.93734	3.94544	3.93857	3.92374	3.95015	3.94311	3.13039	3.13039	3.13039	3.94311	4.02451	3.94854	3.13039	3.1281	3.96018	3.93968	3.13496	3.12975	3.14827	1.46108	0.962012	0.993813	4.09341	4.07891	2.57673	2.09384	1.49365	6.14021	6.12841	6.13683	6.11398	1.83078	4.0385	1.4843	2.07938	1.49365	6.12613	1.53316	1.56325	6.13683	2.62681	1.48548	2.55391	2.11218	4.03267	1.48406	4.06599	6.14813	1.56325	1.57283	1.48144	6.15661	1.48144	4.02462	6.13683	3.15022	1.48144	1.48955	0.991538	3.94676	3.93806	1.26945	3.94311	1.90853	4.14608	0.972786	0.965545	0.981748	1.03266	1.03698	3.99719	3.4682	2.90503	4.13562	4.42374	1.80157	1.93959	2.46791	2.41932	4.36819	3.44655	4.35561	0.876594	1.06022	1.15949	2.02635	4.12229	2.03522	2.63882	1.41397	1.84407	4.12992	4.17514	2.51479
JC3236_393-A3	1.49391	6.1724	0	6.13916	6.21139	1.47488	4.00338	1.48992	6.22984	1.53044	6.20172	1.47415	6.11077	4.03261	1.46487	1.51423	6.22257	6.22109	1.51808	1.47776	1.47628	4.02805	6.19149	1.48321	1.48745	3.93515	3.92746	3.93009	3.93125	3.92902	3.93515	3.90796	3.93194	3.9254	3.9119	3.93062	3.93515	3.13034	3.13034	3.13034	3.93515	4.0157	3.92902	3.13034	3.12807	3.93217	3.93175	3.11681	3.13034	3.14859	1.48894	0.925534	0.973256	4.09842	4.14931	2.5141	2.15633	1.49705	6.21998	6.20412	6.21023	6.17156	1.80695	4.01542	1.48377	1.99331	1.49705	6.19968	1.55307	1.52767	6.21023	2.62077	1.48895	2.53811	2.02737	4.00679	1.48757	4.04462	6.22176	1.52767	1.52767	1.48494	6.21023	1.48494	4.00454	6.21023	3.22924	1.48494	1.49299	0.969243	3.92853	3.91981	1.2292	3.93515	1.84229	4.14859	0.921607	0.929304	0.943822	0.998674	1.00024	4.05845	3.4672	2.92381	4.16557	4.44011	1.74307	1.8688	2.46812	2.42312	4.41326	3.45004	4.40434	0.838754	1.02334	1.13504	1.98327	4.22867	1.98327	2.6217	1.37779	1.83054	4.13662	4.20844	2.48119
JC3237_393-A4	1.50035	6.08262	6.13472	0	6.12617	1.47223	3.97281	1.48318	6.13946	1.55567	6.13875	1.48002	6.04883	4.0037	1.46467	1.5374	6.14943	6.10908	1.55261	1.4707	1.47914	4.00548	6.12159	1.48156	1.48032	3.97257	3.96512	3.96105	3.96879	3.96657	3.97257	3.94488	3.97517	3.96306	3.94991	3.96105	3.97257	3.15337	3.15337	3.15337	3.97257	4.05387	3.95945	3.15337	3.15118	3.96826	3.96929	3.15218	3.13421	3.17139	1.47109	0.955615	0.991243	4.08861	4.18222	2.53692	2.17258	1.49526	6.12976	6.11685	6.1208	6.08552	1.85949	3.99647	1.48207	2.05114	1.49526	6.11028	1.53491	1.55266	6.1208	2.57355	1.48722	2.53877	2.08367	4.00059	1.48584	4.04207	6.13182	1.55266	1.5621	1.48324	6.12292	1.48324	3.98284	6.1208	3.29297	1.48324	1.49123	0.99202	3.93853	3.92992	1.22898	3.97257	1.87367	4.16567	0.946671	0.939588	0.943658	1.00603	1.01045	4.04491	3.46614	2.90419	4.18268	4.48108	1.75533	1.87214	2.49848	2.43895	4.38073	3.46003	4.37096	0.851497	1.03355	1.13166	2.01643	4.25379	2.02523	2.62922	1.38389	1.82988	4.16943	4.20785	2.48621
JC3238_393-A5	1.49526	6.13128	6.20964	6.1289	0	1.45989	3.99452	1.46426	6.20781	1.545	6.18469	1.46091	6.11563	4.02975	1.46411	1.52682	6.19922	6.18078	1.5421	1.46621	1.46422	4.02204	6.17304	1.46986	1.46855	3.95738	3.94994	3.94546	3.95361	3.95141	3.95738	3.92384	3.95449	3.94791	3.93481	3.94594	3.95738	3.14969	3.14969	3.14969	3.95738	4.03719	3.94436	3.14969	3.14752	3.94761	3.9541	3.14568	3.13079	3.1674	1.45849	0.940372	0.975085	4.11838	4.15469	2.52222	2.16646	1.48333	6.20081	6.18809	6.19142	6.15727	1.82268	4.01767	1.47428	2.04765	1.48333	6.18118	1.52134	1.54214	6.19142	2.56237	1.47548	2.51916	2.0796	4.01754	1.47405	4.03946	6.20262	1.54214	1.55146	1.47158	6.19389	1.47158	4.00425	6.19142	3.24612	1.47158	1.47939	0.971722	3.91725	3.90866	1.20628	3.95738	1.85913	4.1546	0.9333	0.926356	0.925978	0.994687	0.996264	4.03635	3.46718	2.89217	4.17126	4.4568	1.74284	1.85739	2.47477	2.4228	4.41013	3.43774	4.40129	0.839533	1.01906	1.13236	1.98801	4.22642	1.99677	2.60886	1.36837	1.83043	4.14937	4.20909	2.4626
JC3239_393-B1	6.78415	1.47112	1.47479	1.4736	1.46097	0	1.71324	6.80597	1.46123	4.50502	1.45254	6.77985	1.48276	1.7436	6.80217	4.49104	1.46253	1.47896	4.49587	6.79926	6.79632	1.7276	1.46498	6.79483	6.80486	1.42014	1.42852	1.41603	1.42431	1.42014	1.42014	1.42429	1.41575	1.42431	1.43699	1.42431	1.42014	2.29417	2.29417	2.29417	1.42014	1.61798	1.42431	2.29417	2.28923	1.43699	1.42431	2.27008	2.30771	2.27065	6.42623	5.01152	4.97674	1.81685	1.81372	3.0952	3.88432	6.78354	1.45711	1.46085	1.45698	1.47308	4.18306	1.7038	6.78839	3.37339	6.78202	1.46097	6.37462	4.51826	1.45698	3.17096	6.79598	3.06374	3.43533	1.69107	6.79645	1.90958	1.45502	4.49665	4.50585	6.79108	1.46498	6.79108	1.7038	1.45698	2.86026	6.79108	6.78812	5.02469	1.42135	1.42929	4.74048	1.42014	3.93712	1.54264	4.9731	4.97867	5.10893	4.91026	4.91608	1.61777	1.65507	2.92457	1.50483	1.42131	4.0824	4.04832	2.91629	3.0025	1.55197	1.98418	1.5439	5.37539	5.13504	4.5217	3.33747	1.59883	3.32765	2.60289	4.63571	3.86524	1.5487	1.55938	3.13008
JC3240_393-B2	1.70992	3.96483	3.95438	3.92586	3.94627	1.68965	0	1.69399	3.94742	1.61329	3.9572	1.68544	3.98564	7.46735	1.69646	1.60441	3.95279	3.93542	1.60578	1.68267	1.69624	7.40101	3.97058	1.69776	1.69402	4.0825	4.07589	4.07138	4.07917	4.0769	4.0825	4.05182	4.08177	4.07385	4.08085	4.07173	4.0825	3.47143	3.47143	3.47143	4.0825	5.51737	4.0699	3.47143	3.48143	4.05091	4.07953	3.47184	3.45418	3.49316	1.60935	1.00368	0.994577	4.48734	4.37502	2.78159	2.27889	1.70689	3.94702	3.92645	3.95558	3.94672	2.09494	7.56076	1.69777	2.63538	1.69408	3.96616	1.66659	1.60529	3.95558	3.17275	1.68372	2.47873	2.77562	7.4934	1.68216	4.52484	3.95618	1.60529	1.61428	1.69324	3.94609	1.69324	7.57074	3.95558	3.26542	1.69324	1.70231	0.986404	4.23358	4.22705	1.26043	4.0825	2.09387	4.79808	0.95734	0.981515	1.02179	1.01416	1.0054	4.32812	3.45774	3.2872	5.12388	4.47538	2.05909	2.03771	2.34558	2.29108	4.56523	4.03866	4.62086	0.871627	1.0903	1.19512	2.36178	5.24576	2.36924	2.76118	1.38801	2.02256	4.61402	4.62907	2.78641
JC3241_393-B3	6.82627	1.48428	1.4934	1.48777	1.46605	6.8085	1.72006	0	1.47032	4.51552	1.47211	6.82297	1.50635	1.74096	6.8478	4.46476	1.47589	1.49511	4.48139	6.83184	6.82548	1.73896	1.49135	6.83365	6.83251	1.41986	1.42809	1.42809	1.42396	1.42396	1.41986	1.43638	1.41967	1.42809	1.44062	1.42809	1.41986	2.24005	2.24005	2.24005	1.41986	1.6262	1.42809	2.24005	2.23502	1.44062	1.42396	2.2362	2.25303	2.23529	6.48329	5.03256	5.04346	1.81186	1.77295	3.01141	3.8459	6.82267	1.47568	1.4754	1.4754	1.48733	4.14896	1.70615	6.82743	3.36349	6.81826	1.47935	6.42543	4.49118	1.4754	3.14761	6.83169	3.00265	3.42384	1.68905	6.83237	1.8724	1.47358	4.47003	4.49118	6.82684	1.47935	6.82684	1.70157	1.4754	2.84771	6.82684	6.82414	5.0435	1.44806	1.45599	4.73	1.41986	3.92397	1.51996	5.04612	5.02608	5.02932	4.87792	4.88389	1.62941	1.6552	2.93038	1.52721	1.42023	4.09125	4.04385	2.89548	2.99411	1.56117	1.95418	1.54983	5.34526	5.0991	4.50833	3.30312	1.58243	3.30312	2.56926	4.60823	3.83893	1.55072	1.56215	3.04737
JC3280_393-B4	1.49801	6.14676	6.22965	6.14377	6.20938	1.4624	3.99761	1.47074	0	1.53427	6.20713	1.46337	6.12118	4.02859	1.46841	1.49765	6.21243	6.20321	1.51778	1.46869	1.46277	4.02532	6.19535	1.47804	1.47107	3.95259	3.94508	3.94056	3.94879	3.94658	3.95259	3.9222	3.94962	3.94303	3.93321	3.94105	3.95259	3.15477	3.15477	3.15477	3.95259	4.03281	3.93946	3.15477	3.15259	3.94269	3.95259	3.1508	3.13578	3.16344	1.46207	0.938484	0.973458	4.12582	4.15553	2.54078	2.13001	1.48596	6.2233	6.20615	6.21366	6.17499	1.78968	4.03164	1.4729	1.99465	1.48596	6.2034	1.52564	1.51776	6.21366	2.57364	1.47804	2.48937	2.02813	4.03203	1.47661	4.04577	6.22507	1.51776	1.52722	1.47411	6.21627	1.47411	4.01811	6.21366	3.2237	1.47411	1.48199	0.969011	3.91991	3.91128	1.21775	3.95259	1.84182	4.14763	0.938926	0.931925	0.934904	1.00071	1.00225	4.02849	3.46802	2.89569	4.16442	4.45468	1.72474	1.82862	2.46085	2.40823	4.40806	3.44462	4.39911	0.844551	1.02515	1.13919	1.97137	4.22735	1.98023	2.59597	1.37659	1.83085	4.14825	4.2101	2.47767
JC3243_393-B5	4.38608	1.54278	1.50016	1.52667	1.51771	4.43035	1.60839	4.43618	1.50347	0	1.52439	4.44628	1.4698	1.65949	4.44206	7.91799	1.49905	1.54249	7.88562	4.42238	4.42626	1.63503	1.51296	4.41168	4.40596	1.45966	1.4681	1.47235	1.46387	1.45966	1.45966	1.48527	1.47663	1.45126	1.45871	1.4681	1.45966	2.37525	2.37525	2.37525	1.45966	1.45813	1.46387	2.37525	2.37072	1.47663	1.45966	2.40987	2.38898	2.36884	4.31775	5.29581	5.17393	1.66144	1.76453	3.4787	4.67555	4.3951	1.52591	1.52591	1.51364	1.52591	4.00924	1.61263	4.42524	4.3756	4.38251	1.51771	4.2047	7.88112	1.51364	3.82632	4.40899	4.3982	4.39552	1.61131	4.40771	1.82367	1.49915	7.88153	7.87307	4.41052	1.50865	4.41052	1.59945	1.51364	2.8047	4.41052	4.39482	5.21327	1.45165	1.4596	5.13394	1.45966	5.23556	1.54755	5.30008	5.26598	5.37616	5.5295	5.5122	1.93248	4.57074	3.0897	2.18215	1.80447	4.79503	4.5767	4.13394	4.11963	1.71261	2.36051	1.74275	6.22152	5.64077	5.30164	4.55284	1.92242	4.55378	4.01113	5.14177	4.43426	1.83457	1.84722	3.48384
